sin 1.7136493465700289 0m29.984s 1.7136493465700542 1m41.184s
cos 0.17098435541865736 0m30.031s 0.1709843554185943 1m41.200s
tan -5.5500322522995315E7 0m31.772s -5.5500322522995315E7 1m46.976s
asin NaN 0m4.577s NaN 0m4.543s
acos NaN 0m4.539s NaN 0m4.525s
atan 1.5707961389886132E8 0m12.929s 1.5707961389886132E8 0m12.896s
exp Infinity 0m1.071s Infinity 0m4.570s
log 1.7420680845245087E9 0m3.272s 1.7420680845245087E9 0m14.239s
log10 7.565705562087342E8 0m4.362s 7.565705562087342E8 0m20.236s
sqrt 6.66666671666567E11 0m0.913s 6.66666671666567E11 0m0.981s
cbrt 3.481191648389617E10 0m10.786s 3.481191648389617E10 0m10.808s
sinh Infinity 0m4.438s Infinity 0m4.433s
cosh Infinity 0m4.496s Infinity 0m4.478s
tanh 9.999999971990079E7 0m3.360s 9.999999971990079E7 0m3.353s
expm1 Infinity 0m4.076s Infinity 0m4.094s
log1p 1.7420681029451895E9 0m13.518s 1.7420681029451895E9 0m13.527s
IEEEremainder 502000.0 0m38.803s 502000.0 0m38.909s
atan2 1.570453905253704E8 0m20.100s 1.570453905253704E8 0m20.057s
pow Infinity 0m14.096s Infinity 0m19.938s
hypot 5.000000099033372E15 0m5.136s 5.000000099033372E15 0m5.122s
