sin 1.7136493465700289 0m29.951s 1.7136493465700542 0m33.895s
cos 0.17098435541865736 0m30.016s 0.1709843554185943 0m33.884s
tan -5.5500322522995315E7 0m31.765s -5.5500322522995315E7 0m36.461s
asin NaN 0m3.195s NaN 0m3.175s
acos NaN 0m3.194s NaN 0m3.211s
atan 1.5707961389886132E8 0m7.098s 1.5707961389886132E8 0m7.100s
exp Infinity 0m1.071s Infinity 0m3.187s
log 1.7420680845245087E9 0m3.300s 1.7420680845245087E9 0m7.170s
log10 7.565705562087342E8 0m4.370s 7.565705562087342E8 0m9.610s
sqrt 6.66666671666567E11 0m0.904s 6.66666671666567E11 0m0.948s
cbrt 3.481191648389617E10 0m10.788s 3.481191648389617E10 0m10.786s
sinh Infinity 0m3.229s Infinity 0m3.179s
cosh Infinity 0m3.193s Infinity 0m3.174s
tanh 9.999999971990079E7 0m3.210s 9.999999971990079E7 0m3.208s
expm1 Infinity 0m3.161s Infinity 0m3.185s
log1p 1.7420681029451895E9 0m8.753s 1.7420681029451895E9 0m8.756s
IEEEremainder 502000.0 0m14.081s 502000.0 0m14.055s
atan2 1.570453905253704E8 0m10.483s 1.570453905253704E8 0m10.510s
pow Infinity 0m14.074s Infinity 0m20.204s
hypot 5.000000099033372E15 0m5.122s 5.000000099033372E15 0m5.130s
